shoot_player,average_hit
aaron brooks,0.41532976827094475
aaron gordon,0.5288461538461539
al farouq aminu,0.43023255813953487
al horford,0.5412587412587413
al jefferson,0.4775
alan anderson,0.4332344213649852
alan crabbe,0.425531914893617
alex len,0.5284280936454849
alexis ajinca,0.5971563981042654
alonzo gee,0.4782608695652174
amare stoudemire,0.5505952380952381
amir johnson,0.5796019900497512
andre drummond,0.5082706766917293
andre iguodala,0.4606413994169096
andre miller,0.5459770114942529
andre roberson,0.4583333333333333
andrew bogut,0.5523012552301255
andrew wiggins,0.4366373902132999
anthony bennett,0.41605839416058393
anthony davis,0.5434007134363853
anthony morrow,0.4430992736077482
aron baynes,0.5486381322957199
arron afflalo,0.42877906976744184
avery bradley,0.4304635761589404
ben gordon,0.43529411764705883
ben mclemore,0.4381443298969072
beno urdih,0.4887640449438202
bismack biyombo,0.5614035087719298
blake griffin,0.5005599104143337
bojan bogdanovic,0.41944444444444445
boris diaw,0.4439359267734554
bradley beal,0.41680960548885077
brandon bass,0.47708333333333336
brandon jennings,0.4014732965009208
brandon knight,0.428743961352657
brian roberts,0.40053763440860213
brook lopez,0.48811410459587956
carl landry,0.5087108013937283
carlos boozer,0.5145161290322581
carmelo anthony,0.44065656565656564
caron butler,0.38620689655172413
chandler parsons,0.4495548961424332
channing frye,0.3907766990291262
charlie villanueva,0.42323651452282157
chase budinger,0.37185929648241206
chris andersen,0.5808823529411765
chris bosh,0.4604026845637584
chris copeland,0.3639344262295082
chris kaman,0.49078341013824883
chris paul,0.480225988700565
cj mccollum,0.39080459770114945
cj miles,0.3821428571428571
cj watson,0.42524916943521596
cody zeller,0.4647887323943662
cole aldrich,0.4816753926701571
cory joseph,0.5057803468208093
courtney lee,0.4726890756302521
damian lillard,0.43204868154158216
damjan rudez,0.4256410256410256
danilo gallinai,0.36752136752136755
danny green,0.4262589928057554
dante cunningham,0.46153846153846156
dante exum,0.34385964912280703
darrell arthur,0.4183381088825215
darren collison,0.4727272727272727
david west,0.4775828460038986
deandre jordan,0.712468193384224
demarcus cousins,0.46446700507614214
demarre carroll,0.4696969696969697
dennis schroder,0.4326710816777042
deron williams,0.39029126213592236
derrick favors,0.5450516986706057
derrick rose,0.4069767441860465
derrick williams,0.44755244755244755
devin harris,0.4060324825986079
dirk nowtizski,0.46200980392156865
dj augustin,0.4068441064638783
donald sloan,0.41124260355029585
donatas motiejunas,0.5086805555555556
draymond green,0.4384057971014493
dwayne wade,0.47083926031294454
dwight howard,0.5748502994011976
ed davis,0.6028571428571429
elfrid payton,0.4125
enes kanter,0.49765258215962443
eric bledsoe,0.45478036175710596
evan fournier,0.4380610412926391
evan turner,0.4028056112224449
garrett temple,0.3924050632911392
gary neal,0.3660130718954248
gerald green,0.40793650793650793
gerald henderson,0.4369449378330373
giannis antetokounmpo,0.4918032786885246
glen davis,0.480225988700565
goran dragic,0.50199203187251
gordon hayward,0.4486735870818916
gorgui dieng,0.49385749385749383
greg monroe,0.49157303370786515
greg smith,0.6170212765957447
greivis vasquez,0.40699815837937386
harrison barnes,0.490280777537797
hedo turkoglu,0.4411764705882353
henry sims,0.48226950354609927
hollis thompson,0.40406976744186046
isaiah thomas,0.4190938511326861
jakarr sampson,0.44761904761904764
jamal crawford,0.40099626400996263
james ennis,0.3836477987421384
james harden,0.4497153700189753
james johnson,0.6141479099678456
jared dudley,0.4818941504178273
jared sullinger,0.4481203007518797
jarrett jack,0.44607843137254904
jason maxiell,0.4186046511627907
jason smith,0.4513888888888889
jason terry,0.415929203539823
jason thompson,0.4589041095890411
jeff green,0.42016806722689076
jeff teague,0.4643377001455604
jerami grant,0.38073394495412843
jeremy lamb,0.41964285714285715
jeremy lin,0.4388349514563107
jerome jordan,0.5454545454545454
jerryd bayless,0.4466501240694789
jimmer dredette,0.3841059602649007
jimmy butler,0.4622279129321383
jj hickson,0.4804804804804805
jj redick,0.46070878274268107
joakim noah,0.43823529411764706
joe harris,0.41
joe johnson,0.4367666232073012
joey dorsey,0.5268817204301075
john henson,0.5809128630705395
john wall,0.448512585812357
jon ingles,0.4090909090909091
jon leuer,0.44357976653696496
jonas jerebko,0.46551724137931033
jonas valanciunas,0.5637860082304527
jordan farmar,0.3860759493670886
jordan hill,0.46416938110749184
jose calderon,0.41329479768786126
jose juan barea,0.4221698113207547
jrue holiday,0.4448818897637795
jusuf nurkic,0.4421768707482993
kawhi leonard,0.4496124031007752
kelly olynyk,0.49853372434017595
kemba walker,0.4
kendrick perkins,0.4381443298969072
kenneth faried,0.4921875
kent bazemore,0.43842364532019706
kentavious caldwell-pope,0.39824304538799415
kevin garnett,0.46511627906976744
kevin love,0.43116883116883115
kevin seraphin,0.5148809523809523
khris middleton,0.47153024911032027
kirk hinrich,0.35987261146496813
kj mcdaniels,0.39663461538461536
klay thompson,0.4624098867147271
kobe bryant,0.37307152875175315
kosta koufos,0.5019762845849802
kostas papanikolaou,0.34759358288770054
kris humphries,0.473551637279597
kyle korver,0.4916317991631799
kyle lowry,0.4141069397042093
kyle oquinn,0.49282296650717705
kyle singler,0.39425587467362927
kyrie irving,0.46602972399150744
lamarcus aldridge,0.4504761904761905
lance stephenson,0.3646788990825688
lavoy allen,0.4921259842519685
leandro barbosa,0.46875
lebron james,0.4887525562372188
lou williams,0.4020618556701031
luc mbah a moute,0.4093686354378819
luis scola,0.4690831556503198
luke babbitt,0.46794871794871795
luol deng,0.48324514991181655
manu ginobili,0.4247967479674797
marc gasol,0.4975429975429975
marcin gortat,0.5456140350877193
marco belinelli,0.4351851851851852
marcus morris,0.4506517690875233
marcus smart,0.3612040133779264
marcus thornton,0.41139240506329117
mario chalmers,0.40540540540540543
markieff morris,0.4674698795180723
marreese speights,0.4939759036144578
marvin williams,0.44025157232704404
mason plumlee,0.5856079404466501
matt barnes,0.44988864142538976
matt bonner,0.3969849246231156
matthew dellavedova,0.3476190476190476
michael carter-williams,0.3850837138508371
michael kidd-gilchrist,0.4715447154471545
mike conley,0.4470426409903714
mike miller,0.30851063829787234
mike scott,0.44141689373297005
mirza teletovic,0.3836477987421384
mnta ellis,0.44961977186311786
mo williams,0.41681574239713776
nate robinson,0.3415841584158416
nene hilario,0.524008350730689
nerles noel,0.4436936936936937
nick collison,0.4056603773584906
nick young,0.3678646934460888
nicolas batum,0.3888888888888889
nik stauskas,0.3385416666666667
nikola mirotic,0.40166204986149584
nikola vucevic,0.532150776053215
norris cole,0.3972602739726027
oj mayo,0.4133099824868651
omer asik,0.5066666666666667
omri casspi,0.4791666666666667
otto porter,0.45774647887323944
pablo prigioni,0.40804597701149425
patrick beverley,0.3815789473684211
patrick patterson,0.4641975308641975
pau gasol,0.49511002444987773
paul millsap,0.47480106100795755
paul pierce,0.45540796963946867
pero antic,0.35585585585585583
pj tucker,0.4534313725490196
quincy acy,0.4723404255319149
ramon sessions,0.3287671232876712
rasual butler,0.4348894348894349
ray mccallum,0.43333333333333335
reggie jackson,0.4203338391502276
richard jefferson,0.4430379746835443
robbie hummel,0.4789915966386555
robert covington,0.396078431372549
robert sacre,0.4132231404958678
rodney stuckey,0.4506517690875233
ronnie price,0.3452914798206278
roy hibbert,0.44886363636363635
rudy gay,0.4459613196814562
rudy gobert,0.6254681647940075
russell westbrook,0.43550051599587203
ryan anderson,0.40860215053763443
serge ibaka,0.4707482993197279
shabazz muhammad,0.4884910485933504
shabazz napier,0.38164251207729466
shane larkin,0.4244604316546763
shaun livingston,0.5247148288973384
shawn marion,0.4497816593886463
shawne williams,0.42857142857142855
solomon hill,0.3945720250521921
spencer hawes,0.4126506024096386
stephen curry,0.4855371900826446
steve adams,0.5474452554744526
steve blake,0.3765182186234818
taj gibson,0.49282296650717705
terrence ross,0.4078014184397163
thabo sefolosha,0.4236453201970443
thaddeus young,0.4668587896253602
tim duncan,0.4960127591706539
time hardaway jr,0.38823529411764707
timofey mozgov,0.544392523364486
tobias harris,0.46293706293706294
tony allen,0.48044692737430167
tony parker,0.4589285714285714
tony snell,0.4585152838427948
travis wear,0.41975308641975306
trevor ariza,0.37920937042459735
trevor booker,0.4954128440366973
trey burke,0.37547892720306514
tristan thompson,0.5454545454545454
ty lawson,0.44201909959072305
tyler hansbrough,0.46534653465346537
tyler zeller,0.5465393794749404
tyreke evans,0.43326039387308535
tyson chandler,0.6764705882352942
udonis haslem,0.43283582089552236
victor oladipo,0.4499314128943759
vince carter,0.3321554770318021
wayne ellington,0.4315068493150685
wesley johnson,0.4173728813559322
wesley matthews,0.44919786096256686
wilson chandler,0.4147339699863574
zach lavine,0.42318059299191374
zach randolph,0.488822652757079
zaza pachulia,0.43142857142857144
