,Player,Player_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,aaronha01,Henry Aaron,0.0,0.28,0.425,0.425,0.465,0.535,0.615,0.67,0.66,0.67,0.67,0.665,0.67,0.67,0.665,0.665,0.665,0.665,0.65,0.65,0.65,0.65,0.65,,
1,alomaro01,Roberto Alomar,0.045,0.285,0.405,0.415,0.44,0.435,0.485,0.485,0.47,0.47,0.475,0.48,0.525,0.52,0.52,0.505,0.515,,,,,,,,
2,ansonca01,Cap Anson,0.09,0.165,0.255,0.4,0.43,0.46,0.475,0.475,0.475,0.48,0.53,0.555,0.535,0.54,0.57,0.565,0.565,0.565,0.565,0.565,0.565,0.565,,,
3,aparilu01,Luis Aparicio,0.0,0.11,0.25,0.365,0.44,0.425,0.425,0.425,0.44,0.44,0.435,0.445,0.435,0.44,0.45,0.435,0.435,0.44,,,,,,,
4,applilu01,Luke Appling,0.0,0.0,0.0,0.21,0.31,0.395,0.415,0.415,0.435,0.465,0.475,0.48,0.48,0.465,0.465,0.48,0.48,0.48,0.48,0.57,,,,,
5,ashburi01,Richie Ashburn,0.185,0.215,0.405,0.435,0.435,0.455,0.45,0.505,0.515,0.53,0.515,0.51,0.51,0.51,0.51,,,,,,,,,,
6,averiea01,Earl Averill,0.135,0.295,0.405,0.425,0.425,0.47,0.48,0.46,0.46,0.46,0.45,0.46,0.455,,,,,,,,,,,,
7,bagweje01,Jeff Bagwell,0.185,0.34,0.405,0.42,0.44,0.49,0.52,0.525,0.54,0.585,0.645,0.64,0.635,0.61,0.62,,,,,,,,,,
8,baineha01,Harold Baines,0.0,0.0,0.135,0.175,0.4,0.385,0.385,0.385,0.385,0.395,0.39,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.395,0.43,,,
9,bakerfr01,Home Run Baker,0.0,0.205,0.43,0.43,0.425,0.48,0.51,0.57,0.585,0.615,0.65,0.65,0.65,,,,,,,,,,,,
10,bancrda01,Dave Bancroft,0.04,0.175,0.4,0.425,0.42,0.445,0.44,0.445,0.43,0.43,0.43,0.435,0.435,0.435,0.435,0.435,,,,,,,,,
11,bankser01,Ernie Banks,0.0,0.0,0.41,0.42,0.415,0.48,0.51,0.565,0.585,0.585,0.58,0.58,0.58,0.58,0.58,0.585,0.585,0.585,0.605,,,,,,
12,becklja01,Jake Beckley,0.0,0.17,0.405,0.425,0.425,0.425,0.44,0.44,0.44,0.435,0.43,0.43,0.43,0.45,0.475,0.475,0.465,0.51,0.51,,,,,,
13,benchjo01,Johnny Bench,0.0,0.04,0.42,0.415,0.43,0.435,0.46,0.53,0.525,0.5,0.53,0.53,0.53,0.53,0.53,0.53,0.53,,,,,,,,
14,berrayo01,Yogi Berra,0.0,0.0,0.02,0.12,0.405,0.405,0.43,0.43,0.44,0.46,0.505,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,,,,,,
15,biggicr01,Craig Biggio,0.0,0.005,0.125,0.395,0.385,0.38,0.4,0.47,0.49,0.515,0.54,0.545,0.54,0.575,0.575,0.58,0.58,0.585,0.575,0.575,,,,,
16,boggswa01,Wade Boggs,0.03,0.42,0.415,0.435,0.49,0.52,0.605,0.68,0.67,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,,,,,,,
17,bottoji01,Jim Bottomley,0.0,0.145,0.245,0.4,0.405,0.405,0.415,0.455,0.455,0.455,0.46,0.455,0.455,0.455,0.455,0.455,,,,,,,,,
18,boudrlo01,Lou Boudreau,0.0,0.205,0.415,0.415,0.43,0.44,0.445,0.485,0.48,0.485,0.49,0.49,0.49,,,,,,,,,,,,
19,bresnro01,Roger Bresnahan,0.0,0.0,0.0,0.0,0.16,0.3,0.38,0.39,0.4,0.4,0.4,0.4,0.405,0.405,0.405,0.405,0.405,,,,,,,,
20,brettge01,George Brett,0.0,0.0,0.215,0.41,0.425,0.43,0.475,0.565,0.6,0.585,0.59,0.595,0.625,0.625,0.625,0.625,0.625,0.635,0.64,0.62,0.62,,,,
21,brocklo01,Lou Brock,0.0,0.0,0.0,0.3,0.405,0.405,0.46,0.485,0.485,0.48,0.49,0.49,0.485,0.5,0.505,0.505,0.505,0.505,0.51,,,,,,
22,broutda01,Dan Brouthers,0.0,0.0,0.005,0.34,0.41,0.41,0.42,0.48,0.485,0.55,0.545,0.605,0.57,0.61,0.625,0.615,0.615,,,,,,,,
23,burkeje01,Jesse Burkett,0.0,0.165,0.395,0.41,0.41,0.41,0.415,0.415,,,,,,,,,,,,,,,,,
24,camparo01,Roy Campanella,0.0,0.18,0.435,0.425,0.435,0.43,0.43,0.475,0.46,0.475,,,,,,,,,,,,,,,
25,carewro01,Rod Carew,0.0,0.13,0.41,0.39,0.39,0.395,0.415,0.515,0.495,0.555,0.585,0.61,0.62,0.625,0.625,0.645,0.635,0.635,0.62,,,,,,
26,careyma01,Max Carey,0.0,0.0,0.125,0.235,0.365,0.41,0.425,0.44,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.43,0.43,0.43,0.43,0.43,,,,,
27,cartega01,Gary Carter,0.0,0.015,0.115,0.395,0.41,0.41,0.43,0.43,0.46,0.51,0.505,0.495,0.505,0.505,0.49,0.49,0.5,0.5,0.505,,,,,,
28,cepedor01,Orlando Cepeda,0.0,0.21,0.415,0.44,0.445,0.445,0.475,0.475,0.475,0.49,0.465,0.47,0.475,0.475,0.475,0.495,0.495,,,,,,,,
29,chancfr01,Frank Chance,0.0,0.0,0.01,0.12,0.14,0.41,0.39,0.415,0.43,0.44,0.44,0.455,0.455,0.455,0.455,0.455,,,,,,,,,
30,clarkfr01,Fred Clarke,0.185,0.315,0.405,0.405,0.415,0.46,0.455,0.455,0.465,0.47,0.475,0.475,0.475,0.475,,,,,,,,,,,
31,clemero01,Roberto Clemente,0.0,0.0,0.065,0.25,0.39,0.395,0.43,0.43,0.43,0.445,0.505,0.54,0.585,0.625,0.63,0.63,0.63,0.63,,,,,,,
32,cobbty01,Ty Cobb,0.0,0.005,0.435,0.42,0.425,0.56,0.63,0.695,0.69,0.685,0.68,0.67,0.665,0.655,0.65,0.645,0.645,0.645,0.65,0.63,0.625,0.615,0.615,0.62,
33,cochrmi01,Mickey Cochrane,0.0,0.02,0.23,0.385,0.39,0.395,0.405,0.445,0.45,0.45,0.445,0.445,0.445,,,,,,,,,,,,
34,collied01,Eddie Collins,0.0,0.0,0.0,0.415,0.425,0.425,0.48,0.54,0.695,0.68,0.69,0.69,0.69,0.695,0.685,0.695,0.695,0.675,0.68,0.685,0.69,0.685,,,
35,colliji01,Jimmy Collins,0.0,0.03,0.305,0.445,0.445,0.45,0.45,0.44,0.465,0.47,0.505,0.495,0.49,0.49,,,,,,,,,,,
36,combsea01,Earle Combs,0.0,0.125,0.18,0.405,0.405,0.395,0.395,0.45,0.47,0.47,0.47,0.47,,,,,,,,,,,,,
37,connoro01,Roger Connor,0.0,0.14,0.355,0.4,0.425,0.445,0.505,0.535,0.515,0.54,0.545,0.575,0.58,0.595,0.57,0.595,0.595,,,,,,,,
38,crawfsa01,Sam Crawford,0.18,0.415,0.405,0.4,0.415,0.4,0.475,0.525,0.46,0.455,0.46,0.45,0.515,0.56,0.56,0.56,0.56,,,,,,,,
39,cronijo01,Joe Cronin,0.0,0.0,0.0,0.12,0.415,0.425,0.415,0.43,0.455,0.475,0.475,0.485,0.475,0.475,0.47,0.485,0.485,0.48,0.48,0.585,,,,,
40,cuyleki01,Kiki Cuyler,0.0,0.0,0.165,0.415,0.42,0.41,0.415,0.415,0.43,0.46,0.46,0.46,0.475,0.475,0.475,0.46,0.46,,,,,,,,
41,davisge01,George Davis,0.0,0.135,0.15,0.425,0.425,0.425,0.43,0.445,0.485,0.51,0.52,0.525,0.525,0.565,0.61,0.61,0.61,0.615,0.615,0.625,,,,,
42,dawsoan01,Andre Dawson,0.0,0.035,0.245,0.41,0.435,0.43,0.43,0.485,0.485,0.48,0.48,0.485,0.505,0.505,0.5,0.5,0.495,0.495,0.505,0.515,0.54,,,,
43,delahed01,Ed Delahanty,0.0,0.0,0.0,0.18,0.41,0.42,0.43,0.47,0.575,0.55,0.575,0.605,0.605,,,,,,,,,,,,
44,dickebi01,Bill Dickey,0.025,0.145,0.39,0.38,0.4,0.39,0.39,0.395,0.415,0.45,0.47,0.47,0.475,0.475,0.475,0.49,,,,,,,,,
45,dimagjo01,Joe DiMaggio,0.18,0.425,0.435,0.435,0.51,0.615,0.645,0.625,0.655,0.67,0.645,0.66,0.66,,,,,,,,,,,,
46,dobyla01,Larry Doby,0.0,0.14,0.26,0.41,0.41,0.435,0.445,0.51,0.51,0.51,0.51,0.505,0.495,,,,,,,,,,,,
47,doerrbo01,Bobby Doerr,0.0,0.0,0.0,0.125,0.245,0.39,0.4,0.41,0.425,0.43,0.435,0.47,0.475,0.48,,,,,,,,,,,
48,duffyhu01,Hugh Duffy,0.0,0.05,0.17,0.475,0.47,0.505,0.52,0.495,0.5,0.5,0.505,,,,,,,,,,,,,,
49,eversjo01,Johnny Evers,0.0,0.0,0.115,0.125,0.38,0.405,0.435,0.435,0.435,0.435,0.435,0.425,0.44,0.44,0.44,0.445,0.445,,,,,,,,
50,ewingbu01,Buck Ewing,0.0,0.0,0.11,0.29,0.415,0.44,0.43,0.425,0.435,0.435,0.435,0.425,0.425,0.43,0.43,0.44,0.44,,,,,,,,
51,ferreri01,Rick Ferrell,0.0,0.0,0.115,0.235,0.405,0.405,0.405,0.405,0.405,0.405,0.42,0.42,0.42,0.405,0.405,0.405,0.405,0.415,,,,,,,
52,fiskca01,Carlton Fisk,0.0,0.005,0.275,0.43,0.42,0.405,0.41,0.415,0.465,0.465,0.47,0.475,0.475,0.47,0.47,0.47,0.48,0.495,0.5,0.5,0.51,0.515,0.61,0.61,
53,flickel01,Elmer Flick,0.21,0.295,0.425,0.43,0.42,0.435,0.505,0.505,0.49,0.49,,,,,,,,,,,,,,,
54,foxne01,Nellie Fox,0.0,0.0,0.0,0.18,0.26,0.405,0.41,0.425,0.435,0.445,0.445,0.445,0.445,0.46,0.46,0.46,0.46,0.46,,,,,,,
55,foxxji01,Jimmie Foxx,0.0,0.0,0.195,0.415,0.415,0.42,0.48,0.525,0.62,0.655,0.65,0.655,0.675,0.665,0.67,0.665,0.69,0.69,0.69,,,,,,
56,friscfr01,Frankie Frisch,0.0,0.01,0.415,0.44,0.445,0.5,0.48,0.455,0.525,0.515,0.53,0.515,0.52,0.52,0.515,0.515,0.525,0.525,0.525,,,,,,
57,gehrich01,Charlie Gehringer,0.0,0.0,0.0,0.145,0.315,0.405,0.415,0.415,0.42,0.46,0.46,0.54,0.59,0.61,0.64,0.645,0.66,0.66,0.66,,,,,,
58,gehrilo01,Lou Gehrig,0.0,0.015,0.425,0.43,0.44,0.53,0.6,0.66,0.655,0.64,0.66,0.665,0.67,0.665,0.665,0.665,,,,,,,,,
59,gordojo01,Joe Gordon,0.035,0.4,0.44,0.435,0.44,0.44,0.44,0.48,0.505,0.505,0.505,,,,,,,,,,,,,,
60,gosligo01,Goose Goslin,0.0,0.0,0.11,0.42,0.42,0.43,0.43,0.49,0.49,0.515,0.485,0.485,0.47,0.475,0.47,0.47,0.475,0.475,,,,,,,
61,greenha01,Hank Greenberg,0.0,0.3,0.425,0.425,0.425,0.475,0.535,0.565,0.565,0.56,0.56,0.555,,,,,,,,,,,,,
62,griffke02,Ken Griffey Jr.,0.0,0.29,0.41,0.41,0.45,0.555,0.54,0.57,0.61,0.62,0.59,0.59,0.59,0.59,0.585,0.59,0.62,0.64,0.635,0.635,0.665,0.655,,,
63,guerrvl01,Vladimir Guerrero,0.0,0.0,0.31,0.425,0.425,0.425,0.495,0.56,0.56,0.555,0.555,0.555,0.54,0.54,0.54,0.57,,,,,,,,,
64,gwynnto01,Tony Gwynn,0.0,0.0,0.29,0.42,0.415,0.43,0.43,0.495,0.505,0.52,0.52,0.525,0.54,0.535,0.545,0.52,0.495,0.495,0.495,0.505,,,,,
65,hafeych01,Chick Hafey,0.0,0.0,0.0,0.015,0.32,0.4,0.4,0.4,0.4,0.4,0.405,0.405,0.405,,,,,,,,,,,,
66,hamilbi01,Billy Hamilton,0.0,,,,,,,,,,,,,,,,,,,,,,,,
67,hartnga01,Gabby Hartnett,0.0,0.0,0.1,0.235,0.405,0.405,0.41,0.41,0.41,0.41,0.425,0.425,0.425,0.425,0.435,0.425,0.425,0.425,0.425,0.425,,,,,
68,heilmha01,Harry Heilmann,0.0,0.0,0.125,0.145,0.415,0.405,0.41,0.415,0.47,0.465,0.52,0.535,0.585,0.59,0.59,0.59,0.59,,,,,,,,
69,henderi01,Rickey Henderson,0.0,0.28,0.435,0.42,0.44,0.44,0.515,0.585,0.585,0.59,0.595,0.615,0.615,0.615,0.62,0.615,0.615,0.62,0.615,0.615,0.615,0.65,0.655,0.655,0.655
70,hermabi01,Billy Herman,0.0,0.01,0.125,0.24,0.425,0.415,0.43,0.43,0.46,0.47,0.48,0.48,0.51,0.53,0.525,,,,,,,,,,
71,hoopeha01,Harry Hooper,0.0,0.015,0.24,0.24,0.4,0.395,0.4,0.395,0.395,0.415,0.415,0.43,0.425,0.425,0.425,0.425,0.425,,,,,,,,
72,hornsro01,Rogers Hornsby,0.0,0.045,0.395,0.42,0.425,0.49,0.555,0.685,0.695,0.665,0.675,0.675,0.68,0.69,0.665,0.665,0.665,0.665,0.665,0.665,0.66,0.67,0.61,,
73,irvinmo01,Monte Irvin,0.0,0.04,0.415,0.415,0.42,0.425,0.425,0.435,,,,,,,,,,,,,,,,,
74,jacksre01,Reggie Jackson,0.0,0.165,0.43,0.43,0.445,0.445,0.495,0.48,0.565,0.51,0.515,0.515,0.545,0.56,0.555,0.525,0.545,0.545,0.53,0.525,0.525,,,,
75,jackstr01,Travis Jackson,0.0,0.145,0.175,0.395,0.41,0.425,0.43,0.445,0.45,0.445,0.45,0.44,0.44,0.44,,,,,,,,,,,
76,jennihu01,Hughie Jennings,0.0,0.0,0.19,0.435,0.45,0.445,0.51,0.53,0.53,0.53,0.53,0.53,0.53,0.525,,,,,,,,,,,
77,jeterde01,Derek Jeter,0.0,0.005,0.315,0.41,0.475,0.53,0.555,0.575,0.575,0.565,0.58,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.6,,,,,
78,jonesch06,Chipper Jones,0.0,0.345,0.425,0.44,0.44,0.47,0.565,0.565,0.6,0.56,0.53,0.52,0.525,0.57,0.575,0.575,0.61,0.61,,,,,,,
79,kalinal01,Al Kaline,0.0,0.0,0.29,0.425,0.435,0.435,0.435,0.435,0.515,0.53,0.54,0.52,0.52,0.51,0.52,0.525,0.525,0.525,0.525,0.525,0.525,0.55,,,
80,keelewi01,Willie Keeler,0.0,0.0,0.15,0.29,0.405,0.405,0.425,0.47,0.465,0.465,0.465,0.465,0.465,0.47,,,,,,,,,,,
81,kellejo01,Joe Kelley,0.19,0.3,0.415,0.41,0.41,0.4,0.4,0.41,0.41,0.4,,,,,,,,,,,,,,,
